row_id,zip,week,week_start_date,week_end_date,absolute_week,tests,cases,deaths,population
60651-2020-18,60651.0,18,2020-04-26,2020-05-02,8.0,793.0,267.0,6.0,63218
60633-2022-1,60633.0,1,2022-01-02,2022-01-08,96.0,964.0,138.0,1.0,12871
60634-2020-36,60634.0,36,2020-08-30,2020-09-05,26.0,1577.0,94.0,0.0,75995
60639-2020-29,60639.0,29,2020-07-12,2020-07-18,19.0,1454.0,65.0,1.0,90517
60707-2021-3,60707.0,3,2021-01-17,2021-01-23,46.0,,30.0,0.0,43019
60612-2020-53,60612.0,53,2020-12-27,2021-01-02,43.0,1431.0,95.0,3.0,34311
60628-2021-24,60628.0,24,2021-06-13,2021-06-19,67.0,1227.0,14.0,0.0,66724
60628-2021-27,60628.0,27,2021-07-04,2021-07-10,70.0,1656.0,7.0,0.0,66724
60628-2021-25,60628.0,25,2021-06-20,2021-06-26,68.0,1560.0,18.0,0.0,66724
60628-2021-26,60628.0,26,2021-06-27,2021-07-03,69.0,1634.0,14.0,0.0,66724
60628-2021-3,60628.0,3,2021-01-17,2021-01-23,46.0,1567.0,83.0,4.0,66724
60628-2021-37,60628.0,37,2021-09-12,2021-09-18,80.0,2791.0,104.0,2.0,66724
60634-2020-37,60634.0,37,2020-09-06,2020-09-12,27.0,1080.0,67.0,0.0,75995
60634-2020-38,60634.0,38,2020-09-13,2020-09-19,28.0,1311.0,69.0,1.0,75995
60634-2020-39,60634.0,39,2020-09-20,2020-09-26,29.0,1377.0,69.0,0.0,75995
60639-2020-30,60639.0,30,2020-07-19,2020-07-25,20.0,1445.0,76.0,2.0,90517
60639-2020-34,60639.0,34,2020-08-16,2020-08-22,24.0,1523.0,114.0,3.0,90517
60639-2020-35,60639.0,35,2020-08-23,2020-08-29,25.0,1429.0,113.0,0.0,90517
60639-2020-36,60639.0,36,2020-08-30,2020-09-05,26.0,1398.0,91.0,0.0,90517
60639-2020-42,60639.0,42,2020-10-11,2020-10-17,32.0,2051.0,262.0,1.0,90517
60634-2020-40,60634.0,40,2020-09-27,2020-10-03,30.0,1450.0,93.0,1.0,75995
60634-2020-49,60634.0,49,2020-11-29,2020-12-05,39.0,3059.0,522.0,8.0,75995
60634-2020-50,60634.0,50,2020-12-06,2020-12-12,40.0,3324.0,480.0,4.0,75995
60634-2020-51,60634.0,51,2020-12-13,2020-12-19,41.0,2999.0,369.0,4.0,75995
60634-2020-52,60634.0,52,2020-12-20,2020-12-26,42.0,2485.0,310.0,5.0,75995
60628-2021-28,60628.0,28,2021-07-11,2021-07-17,71.0,1771.0,19.0,0.0,66724
60628-2021-29,60628.0,29,2021-07-18,2021-07-24,72.0,1719.0,41.0,0.0,66724
60634-2020-53,60634.0,53,2020-12-27,2021-01-02,43.0,2646.0,348.0,7.0,75995
60634-2021-1,60634.0,1,2021-01-03,2021-01-09,44.0,2774.0,341.0,4.0,75995
60613-2021-9,60613.0,9,2021-02-28,2021-03-06,52.0,1991.0,47.0,0.0,50113
60614-2020-43,60614.0,43,2020-10-18,2020-10-24,33.0,3183.0,140.0,0.0,71308
60614-2020-44,60614.0,44,2020-10-25,2020-10-31,34.0,3629.0,250.0,1.0,71308
60614-2020-45,60614.0,45,2020-11-01,2020-11-07,35.0,3892.0,395.0,0.0,71308
60614-2020-50,60614.0,50,2020-12-06,2020-12-12,40.0,3570.0,196.0,1.0,71308
60614-2020-51,60614.0,51,2020-12-13,2020-12-19,41.0,4677.0,140.0,0.0,71308
60628-2021-38,60628.0,38,2021-09-19,2021-09-25,81.0,2471.0,57.0,0.0,66724
60628-2021-39,60628.0,39,2021-09-26,2021-10-02,82.0,2911.0,61.0,3.0,66724
60628-2021-4,60628.0,4,2021-01-24,2021-01-30,47.0,1667.0,78.0,4.0,66724
60628-2021-40,60628.0,40,2021-10-03,2021-10-09,83.0,2950.0,67.0,1.0,66724
60634-2021-18,60634.0,18,2021-05-02,2021-05-08,61.0,2028.0,82.0,1.0,75995
60634-2021-19,60634.0,19,2021-05-09,2021-05-15,62.0,1930.0,49.0,1.0,75995
60634-2021-2,60634.0,2,2021-01-10,2021-01-16,45.0,2581.0,245.0,0.0,75995
60634-2021-22,60634.0,22,2021-05-30,2021-06-05,65.0,1208.0,11.0,1.0,75995
60634-2021-23,60634.0,23,2021-06-06,2021-06-12,66.0,1540.0,18.0,3.0,75995
60634-2021-26,60634.0,26,2021-06-27,2021-07-03,69.0,1082.0,4.0,1.0,75995
60634-2021-27,60634.0,27,2021-07-04,2021-07-10,70.0,1105.0,11.0,0.0,75995
60634-2021-28,60634.0,28,2021-07-11,2021-07-17,71.0,1289.0,12.0,0.0,75995
60634-2021-29,60634.0,29,2021-07-18,2021-07-24,72.0,1339.0,28.0,0.0,75995
